,Country,Order ID,Total Cost,Total Profit
0,Chad,292494523,2353920.64,566105.0
1,Latvia,361825549,34174.25,16834.5
2,Pakistan,141515767,592408.95,411291.95
3,Democratic Republic of the Congo,500364005,3861014.82,1273303.59
4,Czech Republic,127481591,110978.89,54669.06
5,South Africa,482292354,314085.2,154720.8
6,Laos,844532620,438737.25,304602.25
7,China,564251220,530868.6,319213.8
8,Eritrea,411809480,886561.39,139053.2
9,Haiti,327881228,3253177.12,782371.25
10,Zambia,773452794,84787.64,64139.16
11,Bosnia and Herzegovina,479823005,1457895.9,876639.7
12,Germany,498603188,3474185.28,835522.5
13,India,151717174,2682558.52,884666.74
14,Algeria,181401288,341447.68,699662.88
15,Palau,500204360,42971.04,24316.74
16,Cuba,640987718,43393.35,21375.9
17,Vatican City,206925189,83194.43,40982.22
18,Lebanon,221503102,370905.15,164017.7
19,Lithuania,878520286,246523.2,139504.2
20,Mauritius ,192088067,522183.39,344784.21
21,Ukraine,746630275,1755991.2,422306.25
22,Russia,246883237,690947.04,390997.74
23,Japan,967895781,190914.25,126055.75
24,Russia,305029237,1379986.96,216444.8
25,Liechtenstein,223957431,257786.55,178973.55
26,Greece,510666692,232135.68,475670.88
27,Albania,121455848,54043.38,32496.54
28,Federated States of Micronesia,332936227,332071.86,199676.38
29,Dominica,692031657,203487.79,100239.66
30,Andorra,365978467,8399.36,2020.0
31,Switzerland,392325484,378782.28,167501.04
32,Trinidad and Tobago,528934037,349289.22,210029.26
33,San Marino,603977954,850468.29,590454.89
34,Nicaragua,965943562,20898.4,7278.2
35,Azerbaijan,233629691,1335609.76,881868.64
36,Bangladesh,246147668,533831.4,236065.2
37,Serbia,212921321,222688.95,109698.3
38,Mauritius ,763686978,5556.76,1935.23
39,Jamaica,798493468,130086.72,78221.76
40,Italy,637702119,1063710.13,804662.97
41,Bhutan,671986758,167372.8,342964.8
42,Turkey,912333714,310912.0,637092.0
43,Bulgaria,540041816,2430272.57,1604646.23
44,Pakistan,156722390,3262992.22,1076084.89
45,Poland,434299266,896945.49,678510.81
46,France,765008771,310869.0,186927.0
47,Jamaica,611399734,896418.66,539020.78
48,Australia,856333482,394536.54,174467.72
49,Somalia,652983844,8892.2,3096.85
50,Slovenia,574837148,1564443.53,1032961.67
51,Samoa ,365692222,190310.4,389966.4
52,South Africa,289660394,679472.22,513999.18
53,Ghana,681165492,78290.73,54354.93
54,Sri Lanka,594943845,3128236.64,752323.75
55,Guinea,956044280,1313978.07,206091.6
56,Spain,509828126,57622.84,20068.07
57,Moldova ,771969211,96282.33,42576.94
58,Dominican Republic,178453862,857010.98,648301.62
59,Luxembourg,835580909,329479.38,145698.84
60,Kuwait,869961678,5169806.08,1243310.0
61,Saint Lucia,278519999,63055.04,21959.92
62,Georgia,478492200,484656.9,336482.9
63,Bosnia and Herzegovina,257427108,1910985.81,1261774.59
64,Iceland,723186051,553264.32,313084.92
65,Mauritius ,353942859,476708.04,210804.72
66,Malawi,848183858,2785962.72,670008.75
67,Seychelles ,374707877,1182689.67,185499.6
68,Montenegro,322626245,64037.1,28317.8
69,Germany,351362788,2468476.48,814065.76
70,Estonia,640653836,934335.78,146546.4
71,Serbia,540548217,325570.56,667128.96
72,Madagascar,821407258,241680.72,145323.76
73,Benin,523904788,124743.96,61449.84
74,Hungary,109027135,86266.88,176770.08
75,Cuba,108073127,25016.35,16517.65
76,Senegal,672654092,14864.16,5176.68
77,Algeria,224693858,69197.73,48041.93
78,Bosnia and Herzegovina,406428754,8783.85,3884.3
79,Antigua and Barbuda ,230407607,252840.12,152033.96
80,Cambodia,129491746,472627.8,209000.4
81,Oman,606854999,66833.55,46400.55
82,United States of America,885983693,178231.56,107171.48
83,Mauritania,260676658,4656920.16,1119963.75
84,Central African Republic,345045220,1422771.99,939419.61
85,Albania,123513209,1459968.36,877885.88
86,Switzerland,900816953,55376.37,38446.17
87,Ghana,452005279,3648942.94,1203365.53
88,Austria,672439515,786544.5,546074.5
89,Democratic Republic of the Congo,827793490,675413.76,222741.12
90,Dominican Republic,704053533,141245.44,289427.04
91,Mauritius ,157518470,329999.4,198430.2
92,Libya,464799630,893742.02,590114.78
93,Samoa ,272820842,1367520.8,328881.25
94,Kuwait,548818433,364104.75,161010.5
95,Hungary,530341231,3140345.59,492549.2
96,Senegal,875250566,157265.13,77470.02
97,Moldova ,511720263,467640.84,206795.12
98,Eritrea,688236653,107291.25,52852.5
99,Niger,923598563,124333.98,54981.64
100,Saint Lucia,356917321,840127.68,475417.08
101,Sweden,897616755,327348.0,227268.0
102,Jamaica,475433194,16260.84,9777.72
103,Haiti,690415465,739624.62,513499.42
104,Samoa ,962924897,2562200.9,1691755.1
105,Dominican Republic,783635318,385862.4,218354.4
106,Tunisia ,163533055,224851.2,170092.8
107,Taiwan,983916938,55378.18,27279.72
108,Tunisia ,246398293,419839.35,317595.15
109,Sri Lanka,422900950,2437914.24,586305.0
110,Indonesia,905661237,2173859.36,522801.25
111,Ethiopia,257227981,298547.2,611755.2
112,Swaziland,260462510,535920.0,303270.0
113,Portugal,968538653,6677.8,2325.65
114,Hungary,254942739,243237.47,184001.43
115,Zimbabwe,563473594,102141.27,50315.58
116,Armenia,358242547,44485.95,19672.1
117,North Korea,873673427,3003951.53,471156.4
118,Burkina Faso,264502561,379277.6,59488.0
119,India,355778777,96395.67,42627.06
120,Sao Tome and Principe,792863404,2389577.7,788046.15
121,Armenia,391430270,645501.3,101244.0
122,Georgia,287465703,227368.96,465903.36
123,Serbia,787268531,2398409.64,1583607.96
